vast,3406
diverse,3992
blue,3479
green,2082
fertile,2260
resilient,3918
life-sustaining,3841
dynamic,3414
majestic,1709
fragile.,687
living,72
nurturing,1700
fragile,670
magnificent,170
ancient,251
finite,488
rotating,361
home.,202
mountainous,307
vibrant,789
volatile,174
spiraling,22
spherical,38
intricate,36
blue-green.,2
wondrous,81
lush,17
arid,8
inhabited,79
spirited,115
changing,76
complex,1146
beautiful,436
habitable,133
precious,137
orbital,13
finite.,411
breathtaking,74
awe-inspiring.,163
beautiful.,44
layered,7
revolving,206
changing.,11
evolving,213
mysterious,133
precious.,10
extraordinary.,35
thriving,16
amazing.,1
spinning,116
verdant,178
spiraled,52
andmagnificent.,3
spirited.,45
ever-changing,212
evolving.,30
dynamic.,33
geologicallyactive,46
orbiting,40
teeming,109
enigmatic,4
breathtaking.,70
oceanic,35
resilient.,29
ever-changing.,109
invaluable.,5
magnetic,35
andresilient.,4
vibrant.,11
majestic.,68
delicate,27
andfinite.,65
andmajestic.,10
constantly-changing,6
andnurturing.,4
rocky,6
awe-inspiring,21
watery,43
extraordinary,15
orbiting.,76
alive.,28
inhabited.,4
abundant,6
interconnected.,8
wondrous.,8
immense,69
volcanic,2
oceania-rich,13
atmospheric.,1
andbreathtaking.,5
weathered,11
spiraled(inreferencetoitsmagneticfieldlines).,22
andmysterious.,1
bountiful.,10
cradle,2
atmospheric,1
wonderous,9
terrestrial,2
anddelicate.,18
vulnerable.,4
interconnected,18
orbital.,12
enormous,7
treasured.,1
breath-taking,1
andvital.,3
resource-rich,1
tectonic.,8
water-covered,1
spiraled-with-life,4
andevolving.,1
magnificent.,11
andenduring.,14
andprecious.,1
spiraled.,15
spinning.,16
threatened,12
life-sustaining.,5
mesmerizing.,30
spiraling.,1
andbeautiful.,16
andhome.,1
enigmatic.,16
rotation-spinning,2
fascinating,1
lively,3
andfragile.,1
nurturing.,23
stunning.,10
vivacious,1
water-rich,1
serene,11
rotating.,2
mesmerizing,2
revolving.,1
andspirited.,1
bountiful,15
finely-balanced.,6
temperate(inparts),1
andever-changing.,2
vulnerable,12
complex.,9
floating,9
intricate.,3
miraculous.,4
andhomeostatic.,6
captivating,4
homeostatic.,3
endangered.,1
tectonic,4
ecosystem-rich,2
andwondrous.,1
transforming,5
andlife-sustaining.,6
endangered,1
gravitational,1
homeostatic,1
andextraordinary.,1
andawe-inspiring.,8
tectonicallyactive,10
atmosphere-rich,1
threatened.,1
turbulent,8
volatile.,4
delicate.,6
warming,16
oceania,4
breathing,2
captivating.,1
fertile.,2
influential,2
remarkable,2
fragmented.,8
andintricate.,1
androbust.,2
andvibrant.,1
andcomplex.,4
spiraled-with-life.,4
1.vibrant,1
"""",1
"2.diverse""",5
"""",1
"3.life-sustaining""",1
"""",1
"4.ever-changing""",2
"""",1
"5.majestic""",1
"""",1
"6.resilient""",1
"""",1
"7.fragile""",6
"""",2
"8.abundant""",5
"""",1
"9.rugged""",6
"""",6
"10.mysterious.""",4
chaotic,4
transformative,4
treasured,1
irreplaceable.,2
harmonious.,2
temperate,2
andinvaluable.,1
1.vast,1
"""",2
"3.blue""",2
"""",2
"4.green""",2
"""",3
"5.life-sustaining""",1
"""",2
"6.dynamic""",2
"""",5
"7.resilient""",10
"""",1
"8.habitable""",1
"""",2
"9.geologicallyactive""",1
"""",1
"10.breathtaking.""",3
aquatic,1
miraculous,4
marvelous.,1
spectacular,1
picturesque,1
powerful,1
harmonious,1
varied,1
habitable.,1
alive,1
andchanging.,3
andirreplaceable.,1
wonderful.,1
continuously-changing,1
terraqueous,2
blue-green,1
magical,3
remarkable.,1
1.diverse,1
"""",1
"2.habitable""",1
"""",1
"3.vast""",1
"""",1
"4.blue""",1
"""",2
"5.green""",2
"""",1
"7.life-sustaining""",1
"""",1
"8.resilient""",1
"""",1
"9.complex""",1
"""",1
"10.home.""",1
active,2
hot,1
cold,1
mysterious.,1
anddynamic.,1
spiraling(inreferencetoitsorbitalpatharoundthesun).,1
fascinating.,1
tempestuous,1
eroded,1
andbeloved.,2
profound.,1
irreplaceable,1
exceptional,1
planet.,1
populous,1
tumultuous,1
"""",1
"5.rotating""",1
"""",1
"6.life-sustaining""",1
"""",4
"7.evolving""",1
"""",1
"9.resilient""",1
dense,1
andvolatile.,1
terrestrial.,1
expansive,1
transformative.,1
inspiring.,1
water-abundant,1
tectonically-active,2
constantlychanging,3
orbited,1
singular.,1
"""",1
"5.alive""",1
"""",1
"6.warming""",1
"""",1
"8.fragile""",1
"""",1
"9.spinning""",1
spectacular.,1
rugged,1
climaticallyvaried,1
andfinelybalanced.,1
contrasting,1
singular,1
floating.,1
inspirational,1
